Vgs (V),Ids (mA),gm (mS),Vgs_fitted (V),gm_fitted (mS)
-1.00E-01,-2.25E+00,2.31E+00,-1.52E-01,2.10E+00
4.09E-05,-2.02E+00,3.33E+00,-1.46E-01,2.15E+00
1.00E-01,-1.68E+00,3.84E+00,-1.40E-01,2.19E+00
2.00E-01,-1.30E+00,3.54E+00,-1.34E-01,2.24E+00
3.00E-01,-9.46E-01,3.01E+00,-1.28E-01,2.29E+00
4.00E-01,-6.46E-01,2.48E+00,-1.22E-01,2.33E+00
5.00E-01,-3.98E-01,2.02E+00,-1.16E-01,2.38E+00
6.00E-01,-1.95E-01,1.25E+00,-1.10E-01,2.43E+00
7.00E-01,-7.05E-02,5.81E-01,-1.04E-01,2.47E+00
8.00E-01,-1.24E-02,1.17E-01,-9.75E-02,2.52E+00
,,,-9.15E-02,2.56E+00
,,,-8.54E-02,2.61E+00
,,,-7.94E-02,2.65E+00
,,,-7.34E-02,2.70E+00
,,,-6.73E-02,2.74E+00
,,,-6.13E-02,2.79E+00
,,,-5.53E-02,2.83E+00
,,,-4.92E-02,2.87E+00
,,,-4.32E-02,2.92E+00
,,,-3.72E-02,2.96E+00
,,,-3.12E-02,3.00E+00
,,,-2.51E-02,3.04E+00
,,,-1.91E-02,3.08E+00
,,,-1.31E-02,3.11E+00
,,,-7.04E-03,3.15E+00
,,,-1.01E-03,3.19E+00
,,,5.03E-03,3.22E+00
,,,1.11E-02,3.26E+00
,,,1.71E-02,3.29E+00
,,,2.31E-02,3.32E+00
,,,2.91E-02,3.35E+00
,,,3.52E-02,3.38E+00
,,,4.12E-02,3.41E+00
,,,4.72E-02,3.44E+00
,,,5.33E-02,3.46E+00
,,,5.93E-02,3.49E+00
,,,6.53E-02,3.51E+00
,,,7.14E-02,3.53E+00
,,,7.74E-02,3.55E+00
,,,8.34E-02,3.57E+00
,,,8.94E-02,3.59E+00
,,,9.55E-02,3.61E+00
,,,1.02E-01,3.62E+00
,,,1.08E-01,3.63E+00
,,,1.14E-01,3.65E+00
,,,1.20E-01,3.66E+00
,,,1.26E-01,3.66E+00
,,,1.32E-01,3.67E+00
,,,1.38E-01,3.68E+00
,,,1.44E-01,3.68E+00
,,,1.50E-01,3.68E+00
,,,1.56E-01,3.68E+00
,,,1.62E-01,3.68E+00
,,,1.68E-01,3.68E+00
,,,1.74E-01,3.67E+00
,,,1.80E-01,3.67E+00
,,,1.86E-01,3.66E+00
,,,1.92E-01,3.65E+00
,,,1.98E-01,3.64E+00
,,,2.04E-01,3.63E+00
,,,2.10E-01,3.61E+00
,,,2.16E-01,3.60E+00
,,,2.22E-01,3.58E+00
,,,2.28E-01,3.56E+00
,,,2.34E-01,3.54E+00
,,,2.40E-01,3.52E+00
,,,2.46E-01,3.50E+00
,,,2.52E-01,3.47E+00
,,,2.58E-01,3.45E+00
,,,2.64E-01,3.42E+00
,,,2.70E-01,3.39E+00
,,,2.76E-01,3.36E+00
,,,2.82E-01,3.33E+00
,,,2.88E-01,3.30E+00
,,,2.94E-01,3.27E+00
,,,3.01E-01,3.23E+00
,,,3.07E-01,3.20E+00
,,,3.13E-01,3.16E+00
,,,3.19E-01,3.12E+00
,,,3.25E-01,3.09E+00
,,,3.31E-01,3.05E+00
,,,3.37E-01,3.01E+00
,,,3.43E-01,2.97E+00
,,,3.49E-01,2.93E+00
,,,3.55E-01,2.88E+00
,,,3.61E-01,2.84E+00
,,,3.67E-01,2.80E+00
,,,3.73E-01,2.76E+00
,,,3.79E-01,2.71E+00
,,,3.85E-01,2.67E+00
,,,3.91E-01,2.62E+00
,,,3.97E-01,2.58E+00
,,,4.03E-01,2.53E+00
,,,4.09E-01,2.48E+00
,,,4.15E-01,2.44E+00
,,,4.21E-01,2.39E+00
,,,4.27E-01,2.35E+00
,,,4.33E-01,2.30E+00
,,,4.39E-01,2.25E+00
,,,4.45E-01,2.21E+00
,,,4.51E-01,2.16E+00
,,,4.57E-01,2.11E+00
,,,4.63E-01,2.07E+00
,,,4.69E-01,2.02E+00
,,,4.75E-01,1.97E+00
,,,4.81E-01,1.93E+00
,,,4.87E-01,1.88E+00
,,,4.93E-01,1.84E+00
,,,4.99E-01,1.79E+00
,,,5.06E-01,1.75E+00
,,,5.12E-01,1.70E+00
,,,5.18E-01,1.66E+00
,,,5.24E-01,1.61E+00
,,,5.30E-01,1.57E+00
,,,5.36E-01,1.53E+00
,,,5.42E-01,1.49E+00
,,,5.48E-01,1.44E+00
,,,5.54E-01,1.40E+00
,,,5.60E-01,1.36E+00
,,,5.66E-01,1.32E+00
,,,5.72E-01,1.28E+00
,,,5.78E-01,1.24E+00
,,,5.84E-01,1.21E+00
,,,5.90E-01,1.17E+00
,,,5.96E-01,1.13E+00
,,,6.02E-01,1.10E+00
,,,6.08E-01,1.06E+00
,,,6.14E-01,1.03E+00
,,,6.20E-01,9.92E-01
,,,6.26E-01,9.59E-01
,,,6.32E-01,9.26E-01
,,,6.38E-01,8.95E-01
,,,6.44E-01,8.63E-01
,,,6.50E-01,8.33E-01
,,,6.56E-01,8.03E-01
,,,6.62E-01,7.74E-01
,,,6.68E-01,7.46E-01
,,,6.74E-01,7.19E-01
,,,6.80E-01,6.92E-01
,,,6.86E-01,6.66E-01
,,,6.92E-01,6.40E-01
,,,6.98E-01,6.15E-01
,,,7.05E-01,5.91E-01
,,,7.11E-01,5.68E-01
,,,7.17E-01,5.45E-01
,,,7.23E-01,5.23E-01
,,,7.29E-01,5.02E-01
,,,7.35E-01,4.82E-01
,,,7.41E-01,4.62E-01
,,,7.47E-01,4.42E-01
,,,7.53E-01,4.23E-01
,,,7.59E-01,4.05E-01
,,,7.65E-01,3.88E-01
,,,7.71E-01,3.71E-01
,,,7.77E-01,3.55E-01
,,,7.83E-01,3.39E-01
,,,7.89E-01,3.24E-01
,,,7.95E-01,3.09E-01
,,,8.01E-01,2.95E-01
,,,8.07E-01,2.81E-01
,,,8.13E-01,2.68E-01
,,,8.19E-01,2.55E-01
,,,8.25E-01,2.43E-01
,,,8.31E-01,2.32E-01
,,,8.37E-01,2.21E-01
,,,8.43E-01,2.10E-01
,,,8.49E-01,2.00E-01
,,,8.55E-01,1.90E-01
,,,8.61E-01,1.80E-01
,,,8.67E-01,1.71E-01
,,,8.73E-01,1.62E-01
,,,8.79E-01,1.54E-01
,,,8.85E-01,1.46E-01
