Sensor 1,,Sensor 2,,Sensor 3,,Calibration Curve,
Concentration (mM),?I/I0,Concentration (mM),?I/I0,Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted
0.001,-1.04E-01,0.001,-1.46E-01,0.001,-5.12E-02,5.00E-03,1.28E-01
0.005,-1.10E-01,0.005,-1.48E-01,0.005,-5.19E-02,5.52E-02,1.95E-01
0.01,-1.96E-01,0.01,-1.96E-01,0.01,-1.09E-01,1.05E-01,2.13E-01
0.05,-1.80E-01,0.05,-1.90E-01,0.05,-1.40E-01,1.56E-01,2.24E-01
0.1,-2.31E-01,0.1,-2.30E-01,0.1,-1.68E-01,2.06E-01,2.32E-01
0.5,-2.93E-01,0.5,-2.80E-01,0.5,-2.24E-01,2.56E-01,2.38E-01
1,-3.12E-01,1,-2.92E-01,1,-2.40E-01,3.06E-01,2.43E-01
2,-3.27E-01,2,-3.03E-01,2,-2.43E-01,3.57E-01,2.47E-01
5,-3.51E-01,5,-3.29E-01,5,-2.77E-01,4.07E-01,2.51E-01
10,-3.72E-01,10,-3.48E-01,10,-3.19E-01,4.57E-01,2.54E-01
,,,,,,5.07E-01,2.57E-01
,,,,,,5.57E-01,2.60E-01
,,,,,,6.08E-01,2.62E-01
,,,,,,6.58E-01,2.64E-01
,,,,,,7.08E-01,2.67E-01
,,,,,,7.58E-01,2.68E-01
,,,,,,8.09E-01,2.70E-01
,,,,,,8.59E-01,2.72E-01
,,,,,,9.09E-01,2.73E-01
,,,,,,9.59E-01,2.75E-01
,,,,,,1.01E+00,2.76E-01
,,,,,,1.06E+00,2.78E-01
,,,,,,1.11E+00,2.79E-01
,,,,,,1.16E+00,2.80E-01
,,,,,,1.21E+00,2.81E-01
,,,,,,1.26E+00,2.83E-01
,,,,,,1.31E+00,2.84E-01
,,,,,,1.36E+00,2.85E-01
,,,,,,1.41E+00,2.86E-01
,,,,,,1.46E+00,2.87E-01
,,,,,,1.51E+00,2.88E-01
,,,,,,1.56E+00,2.89E-01
,,,,,,1.61E+00,2.89E-01
,,,,,,1.66E+00,2.90E-01
,,,,,,1.71E+00,2.91E-01
,,,,,,1.76E+00,2.92E-01
,,,,,,1.81E+00,2.93E-01
,,,,,,1.86E+00,2.93E-01
,,,,,,1.91E+00,2.94E-01
,,,,,,1.96E+00,2.95E-01
,,,,,,2.01E+00,2.96E-01
,,,,,,2.06E+00,2.96E-01
,,,,,,2.11E+00,2.97E-01
,,,,,,2.16E+00,2.98E-01
,,,,,,2.21E+00,2.98E-01
,,,,,,2.27E+00,2.99E-01
,,,,,,2.32E+00,3.00E-01
,,,,,,2.37E+00,3.00E-01
,,,,,,2.42E+00,3.01E-01
,,,,,,2.47E+00,3.01E-01
,,,,,,2.52E+00,3.02E-01
,,,,,,2.57E+00,3.02E-01
,,,,,,2.62E+00,3.03E-01
,,,,,,2.67E+00,3.03E-01
,,,,,,2.72E+00,3.04E-01
,,,,,,2.77E+00,3.05E-01
,,,,,,2.82E+00,3.05E-01
,,,,,,2.87E+00,3.06E-01
,,,,,,2.92E+00,3.06E-01
,,,,,,2.97E+00,3.06E-01
,,,,,,3.02E+00,3.07E-01
,,,,,,3.07E+00,3.07E-01
,,,,,,3.12E+00,3.08E-01
,,,,,,3.17E+00,3.08E-01
,,,,,,3.22E+00,3.09E-01
,,,,,,3.27E+00,3.09E-01
,,,,,,3.32E+00,3.10E-01
,,,,,,3.37E+00,3.10E-01
,,,,,,3.42E+00,3.10E-01
,,,,,,3.47E+00,3.11E-01
,,,,,,3.52E+00,3.11E-01
,,,,,,3.57E+00,3.12E-01
,,,,,,3.62E+00,3.12E-01
,,,,,,3.67E+00,3.12E-01
,,,,,,3.72E+00,3.13E-01
,,,,,,3.77E+00,3.13E-01
,,,,,,3.82E+00,3.14E-01
,,,,,,3.87E+00,3.14E-01
,,,,,,3.92E+00,3.14E-01
,,,,,,3.97E+00,3.15E-01
,,,,,,4.02E+00,3.15E-01
,,,,,,4.07E+00,3.15E-01
,,,,,,4.12E+00,3.16E-01
,,,,,,4.17E+00,3.16E-01
,,,,,,4.22E+00,3.16E-01
,,,,,,4.27E+00,3.17E-01
,,,,,,4.32E+00,3.17E-01
,,,,,,4.37E+00,3.17E-01
,,,,,,4.42E+00,3.18E-01
,,,,,,4.48E+00,3.18E-01
,,,,,,4.53E+00,3.18E-01
,,,,,,4.58E+00,3.19E-01
,,,,,,4.63E+00,3.19E-01
,,,,,,4.68E+00,3.19E-01
,,,,,,4.73E+00,3.19E-01
,,,,,,4.78E+00,3.20E-01
,,,,,,4.83E+00,3.20E-01
,,,,,,4.88E+00,3.20E-01
,,,,,,4.93E+00,3.21E-01
,,,,,,4.98E+00,3.21E-01
,,,,,,5.03E+00,3.21E-01
,,,,,,5.08E+00,3.21E-01
,,,,,,5.13E+00,3.22E-01
,,,,,,5.18E+00,3.22E-01
,,,,,,5.23E+00,3.22E-01
,,,,,,5.28E+00,3.23E-01
,,,,,,5.33E+00,3.23E-01
,,,,,,5.38E+00,3.23E-01
,,,,,,5.43E+00,3.23E-01
,,,,,,5.48E+00,3.24E-01
,,,,,,5.53E+00,3.24E-01
,,,,,,5.58E+00,3.24E-01
,,,,,,5.63E+00,3.24E-01
,,,,,,5.68E+00,3.25E-01
,,,,,,5.73E+00,3.25E-01
,,,,,,5.78E+00,3.25E-01
,,,,,,5.83E+00,3.25E-01
,,,,,,5.88E+00,3.26E-01
,,,,,,5.93E+00,3.26E-01
,,,,,,5.98E+00,3.26E-01
,,,,,,6.03E+00,3.26E-01
,,,,,,6.08E+00,3.26E-01
,,,,,,6.13E+00,3.27E-01
,,,,,,6.18E+00,3.27E-01
,,,,,,6.23E+00,3.27E-01
,,,,,,6.28E+00,3.27E-01
,,,,,,6.33E+00,3.28E-01
,,,,,,6.38E+00,3.28E-01
,,,,,,6.43E+00,3.28E-01
,,,,,,6.48E+00,3.28E-01
,,,,,,6.53E+00,3.28E-01
,,,,,,6.58E+00,3.29E-01
,,,,,,6.63E+00,3.29E-01
,,,,,,6.69E+00,3.29E-01
,,,,,,6.74E+00,3.29E-01
,,,,,,6.79E+00,3.30E-01
,,,,,,6.84E+00,3.30E-01
,,,,,,6.89E+00,3.30E-01
,,,,,,6.94E+00,3.30E-01
,,,,,,6.99E+00,3.30E-01
,,,,,,7.04E+00,3.31E-01
,,,,,,7.09E+00,3.31E-01
,,,,,,7.14E+00,3.31E-01
,,,,,,7.19E+00,3.31E-01
,,,,,,7.24E+00,3.31E-01
,,,,,,7.29E+00,3.32E-01
,,,,,,7.34E+00,3.32E-01
,,,,,,7.39E+00,3.32E-01
,,,,,,7.44E+00,3.32E-01
,,,,,,7.49E+00,3.32E-01
,,,,,,7.54E+00,3.32E-01
,,,,,,7.59E+00,3.33E-01
,,,,,,7.64E+00,3.33E-01
,,,,,,7.69E+00,3.33E-01
,,,,,,7.74E+00,3.33E-01
,,,,,,7.79E+00,3.33E-01
,,,,,,7.84E+00,3.34E-01
,,,,,,7.89E+00,3.34E-01
,,,,,,7.94E+00,3.34E-01
,,,,,,7.99E+00,3.34E-01
,,,,,,8.04E+00,3.34E-01
,,,,,,8.09E+00,3.34E-01
,,,,,,8.14E+00,3.35E-01
,,,,,,8.19E+00,3.35E-01
,,,,,,8.24E+00,3.35E-01
,,,,,,8.29E+00,3.35E-01
,,,,,,8.34E+00,3.35E-01
,,,,,,8.39E+00,3.35E-01
,,,,,,8.44E+00,3.36E-01
,,,,,,8.49E+00,3.36E-01
,,,,,,8.54E+00,3.36E-01
,,,,,,8.59E+00,3.36E-01
,,,,,,8.64E+00,3.36E-01
,,,,,,8.69E+00,3.36E-01
,,,,,,8.74E+00,3.37E-01
,,,,,,8.79E+00,3.37E-01
,,,,,,8.84E+00,3.37E-01
,,,,,,8.90E+00,3.37E-01
,,,,,,8.95E+00,3.37E-01
,,,,,,9.00E+00,3.37E-01
,,,,,,9.05E+00,3.38E-01
,,,,,,9.10E+00,3.38E-01
,,,,,,9.15E+00,3.38E-01
,,,,,,9.20E+00,3.38E-01
,,,,,,9.25E+00,3.38E-01
,,,,,,9.30E+00,3.38E-01
,,,,,,9.35E+00,3.38E-01
,,,,,,9.40E+00,3.39E-01
,,,,,,9.45E+00,3.39E-01
,,,,,,9.50E+00,3.39E-01
,,,,,,9.55E+00,3.39E-01
,,,,,,9.60E+00,3.39E-01
,,,,,,9.65E+00,3.39E-01
,,,,,,9.70E+00,3.40E-01
,,,,,,9.75E+00,3.40E-01
,,,,,,9.80E+00,3.40E-01
,,,,,,9.85E+00,3.40E-01
,,,,,,9.90E+00,3.40E-01
,,,,,,9.95E+00,3.40E-01
,,,,,,1.00E+01,3.40E-01
